Image,Cytoplasm_Threshold,Nucleus_Threshold,Dice_Score,Accuracy
188.bmp,191.65,91.6,0.877,0.9216
189.bmp,199.03,105.94,0.9868,0.9843
190.bmp,199.6,116.92,0.9347,0.9475
191.bmp,190.32,93.26,0.8829,0.914
192.bmp,198.12,122.12,0.9063,0.9291
193.bmp,205.44,111.84,0.9057,0.9445
194.bmp,217.3,148.72,0.9131,0.932
195.bmp,190.15,99.53,0.8576,0.7381
196.bmp,204.78,126.35,0.9587,0.8896
197.bmp,188.61,79.51,0.9582,0.9035
198.bmp,202.76,115.77,0.9591,0.8951
199.bmp,183.65,67.77,0.9731,0.9416
200.bmp,180.1,62.36,0.9833,0.8159
201.bmp,147.11,44.48,0.7848,0.8688
202.bmp,147.54,33.53,0.8725,0.8628
203.bmp,148.79,42.94,0.9323,0.9328
204.bmp,184.06,76.28,0.9518,0.9692
205.bmp,131.83,29.34,0.8843,0.8299
206.bmp,149.79,40.39,0.7029,0.8336
207.bmp,135.97,31.48,0.6901,0.7858
208.bmp,143.3,36.22,0.9214,0.9025
209.bmp,137.8,37.43,0.8208,0.8685
210.bmp,141.31,43.92,0.7997,0.8476
211.bmp,141.3,38.3,0.7862,0.8247
212.bmp,156.0,59.85,0.6265,0.8139
213.bmp,151.64,42.62,0.8538,0.899
214.bmp,141.15,27.98,0.9045,0.8783
215.bmp,168.76,69.48,0.7793,0.8681
216.bmp,172.04,62.74,0.9292,0.9526
217.bmp,166.15,47.22,0.9334,0.8932
218.bmp,184.37,76.13,0.9407,0.9553
219.bmp,186.95,78.82,0.9591,0.969
220.bmp,203.84,98.59,0.9203,0.944
221.bmp,150.57,32.55,0.9328,0.8661
222.bmp,189.45,75.75,0.927,0.9562
223.bmp,198.36,89.44,0.9808,0.9868
224.bmp,174.92,48.12,0.9713,0.9469
225.bmp,156.79,46.44,0.8168,0.88
226.bmp,159.19,63.84,0.7367,0.8348
227.bmp,154.53,63.54,0.6404,0.786
228.bmp,155.34,45.62,0.6856,0.8027
229.bmp,157.12,69.76,0.6167,0.7887
230.bmp,147.4,58.43,0.635,0.8218
231.bmp,172.68,87.67,0.5574,0.7562
232.bmp,153.65,60.33,0.6342,0.8063
233.bmp,142.12,48.01,0.7044,0.7999
234.bmp,133.85,24.68,0.9453,0.8749
235.bmp,157.53,54.85,0.8586,0.8793
236.bmp,163.79,67.84,0.6034,0.8074
237.bmp,170.03,49.71,0.906,0.871
238.bmp,160.78,61.71,0.7601,0.8174
239.bmp,165.69,54.96,0.9432,0.9403
240.bmp,157.03,39.35,0.7073,0.8176
